
paul;truc
Maurice;Bidule
"31/01/2020 16:49:25";Jean;truc
"31/01/2020 16:49:29";Alain;Machin
"03/02/2020 09:33:55";paul;bismuth
"03/02/2020 09:34:35";paul;bismuth
"03/02/2020 09:34:57";paul;bismuth
"03/02/2020 09:38:26";paul;bismuth
"03/02/2020 09:38:48";paul;bismuth
"03/02/2020 09:39:19";paul;bismuth
"03/02/2020 09:47:46";paul;bismuth
"03/02/2020 09:50:24";paul;bismuth
"03/02/2020 09:52:44";paul;bismuth
"03/02/2020 09:56:13";paul;bismuth
"03/02/2020 09:56:26";paul;bismuth
"03/02/2020 10:23:56";x<xcv;<xcv
"03/02/2020 10:25:20";qfgb;qdfg
"03/02/2020 10:26:59";qfgb;qdfg
"03/02/2020 10:57:16";Alain;qsdgf
"03/02/2020 11:16:06";Alain;<sdfv
"03/02/2020 11:16:24";Alain;cwfdb
"03/02/2020 11:16:53";Alain;cwfdb
"03/02/2020 11:18:42";Alain;cwfdb
"03/02/2020 11:19:25";Alain;cwfdb
"03/02/2020 11:47:25";<xcv;<xcv
"03/02/2020 11:47:57";<xcv;<xcv
"03/02/2020 15:41:25";paul;truc
"03/02/2020 15:42:19";paul;bismuth
"03/02/2020 15:43:21";paul;bismuth
"03/02/2020 15:45:04";paul;bismuth
"03/02/2020 15:45:24";paul;bismuth
"03/02/2020 15:50:21";paul;bismuth
"03/02/2020 15:50:39";paul;truc
"03/02/2020 16:02:51";paul;truc
"03/02/2020 16:03:05";paul;truc
"03/02/2020 16:04:13";paul;truc
"03/02/2020 16:04:31";paul;truc
"03/02/2020 16:04:55";paul;truc
"03/02/2020 16:09:33";paul;truc
"03/02/2020 16:09:52";Alain;truc
"03/02/2020 16:21:32";Alain;truc
"03/02/2020 16:24:32";Alain;truc
"03/02/2020 16:24:41";Alain;truc
"04/02/2020 09:17:25";Maurice;Machin
"04/02/2020 09:18:35";Maurice;Machin
"04/02/2020 09:19:32";Maurice;Machin
;Maurice;Machin
